uniqueID,Author,Unit,CO2_level,low_food_mean,low_food_N,low_food_SE,low_food_95CI,high_food_mean,high_food_N,CO2_magnitude,low_food_SD,high_food_SD,high_food_SE,high_food_95CI,author,year,taxon,taxon_big,co2_treatment_control_uatm,co2_treatment_elevated_uatm,deltaco2,deltaph,co_treatment_coarse,food_relative,food_relative_score
Cole_elevated-1_shell length (um),Cole,shell length (um),ambient,274.9513,3.0,2.0468,NaN,292.6901,3.0,elevated-1,1.1817,3.1512,5.4581,NaN,Cole,2016,oyster,bivalve,388.42,1158.07,769.65,0.41,elevated-1,half food,1
Cole_elevated-1_shell length (um),Cole,shell length (um),elevated,274.9513,3.0,2.729,NaN,274.9513,3.0,elevated-1,1.5756,2.7573,4.7758,NaN,Cole,2016,oyster,bivalve,388.42,1158.07,769.65,0.41,elevated-1,half food,1
Comeau_elevated-1_biomass (mg/cm2),Comeau,biomass (mg/cm2),ambient,3.992958,6.0,0.492958,NaN,8.774648,6.0,elevated-1,1.207495565,2.41498868,0.985915,NaN,Comeau,2013,coral,coral,377.0,708.5,331.5,0.25,elevated-1,starvation,0
Comeau_elevated-1_biomass (mg/cm2),Comeau,biomass (mg/cm2),elevated,4.190141,6.0,0.788732,NaN,9.56338,6.0,elevated-1,1.931990944,5.554477638,2.267606,NaN,Comeau,2013,coral,coral,377.0,708.5,331.5,0.25,elevated-1,starvation,0
Crook_elevated-1_volume (mm3),Crook,volume (mm3),ambient,8.62069,34.0,1.293103,NaN,81.03448,23.0,elevated-1,7.540021388,43.4105433,9.051724,NaN,Crook,2013,coral,coral,410.0,770.0,360.0,0.24,elevated-1,low maintenance,1
Crook_elevated-1_volume (mm3),Crook,volume (mm3),elevated,7.758621,38.0,0.862069,NaN,78.87931,23.0,elevated-1,5.314150215,37.20903917,7.758621,NaN,Crook,2013,coral,coral,410.0,770.0,360.0,0.24,elevated-1,low maintenance,1
Crook_elevated-2_volume (mm3),Crook,volume (mm3),ambient,8.62069,34.0,1.293103,NaN,81.03448,23.0,elevated-2,7.540021388,43.4105433,9.051724,NaN,Crook,2013,coral,coral,410.0,1220.0,810.0,0.43,elevated-2,low maintenance,1
Crook_elevated-2_volume (mm3),Crook,volume (mm3),elevated,8.189655,29.0,1.293103,NaN,84.91379,22.0,elevated-2,6.963572768,26.28250081,5.603448,NaN,Crook,2013,coral,coral,410.0,1220.0,810.0,0.43,elevated-2,low maintenance,1
Drenkard_elevated-1_septa diameter (um),Drenkard,septa diameter (um),ambient,1385.96,3.0,26.32,NaN,2132.0,3.0,elevated-1,45.58757726,103.97501,60.03,NaN,Drenkard,2013,Coral,coral,398.0,1278.0,880.0,0.4,elevated-1,starvation,0
Drenkard_elevated-1_septa diameter (um),Drenkard,septa diameter (um),elevated,1322.0,3.0,42.39,NaN,2062.0,3.0,elevated-1,73.42163373,76.53932519,44.19,NaN,Drenkard,2013,Coral,coral,398.0,1278.0,880.0,0.4,elevated-1,starvation,0
